passenger_id,first_name,last_name,age,gender,email,phone,date_of_birth,missing_last_name_flag,ambiguous_passenger_id_flag
P1408,Diya,Mishra,16,F,diya.mishra@gmail.com,+91-7557641077,2010-06-03,False,True
P1408,Diya,mishra,16,F,diya.mishra1@gmail.com,+91-8251651862,2010-07-25,False,True
P1408,Diya,Mishra,16,F,diya.mishra@yahoo.com,+91-6622877347,2010-11-09,False,True
P1413,Shaurya,Mehta,63,M,shaurya.mehta1@outlook.com,+91-7936418338,1963-08-02,False,True
P1413,Shaurya,Mehta,63,M,shaurya.mehta@rediffmail.com,+91-7332105574,1963-03-02,False,True
P1469,Aadhya,Reddy,84,F,aadhya.reddy1@outlook.com,+91-6792990377,1942-08-13,False,True
P1469,Aadhya,Reddy,84,F,aadhya.reddy@gmail.com,+91-9374377213,1942-08-16,False,True
P1542,Sai,Kulkarni,52,M,sai.kulkarni@outlook.com,+91-8108677810,1974-11-07,False,True
P1542,Sai,Kulkarni,52,M,sai.kulkarni@gmail.com,+91-8303318997,1974-02-15,False,True
P1615,Kavya,Patel,25,M,kavya.patel@hotmail.com,+91-8692213965,2001-07-16,False,True
P1615,Kavya,Patel,25,M,kavya.patel1@hotmail.com,+91-7378164668,2001-07-23,False,True
P1630,Aadhya,Chatterjee,75,F,aadhya.chatterjee1@outlook.com,+91-9365180555,1951-02-14,False,True
P1630,Aadhya,Chatterjee,75,F,aadhya.chatterjee2@yahoo.com,+91-8627514698,1951-09-20,False,True
P1695,Kavya,iyer,59,M,kavya.iyer@outlook.com,+91-6131447949,1967-09-01,False,True
P1695,Kavya,Iyer,59,M,kavya.iyer@gmail.com,+91-8942827240,1967-10-15,False,True
P1711,Ira,Joshi,37,F,ira.joshi@outlook.com,+91-6565423722,1989-10-18,False,True
P1711,Ira,Joshi,37,F,ira.joshi@yahoo.com,+91-8622724151,1989-05-01,False,True
P1727,Aadhya,das,34,M,aadhya.das@yahoo.com,+91-6286828884,1992-11-27,False,True
P1727,Aadhya,Das,34,M,aadhya.das@gmail.com,+91-7444842082,1992-04-07,False,True
P1728,Ira,patel,72,F,ira.patel1@yahoo.com,+91-9973851617,1954-10-18,False,True
P1728,Ira,Patel,72,F,ira.patel@gmail.com,+91-8298969036,1954-02-15,False,True
P1781,Arjun,Singh,43,M,arjun.singh1@hotmail.com,+91-6278452642,1983-07-01,False,True
P1781,ArjunSingh,,43,M,arjunsingh.user@outlook.com,+91-6567592441,1983-10-23,True,True
P1807,Aadhya,Kulkarni,21,M,aadhya.kulkarni@gmail.com,+91-8624318145,2005-10-25,False,True
P1807,Aadhya,Kulkarni,21,M,aadhya.kulkarni@rediffmail.com,+91-6793183317,2005-07-05,False,True
P1811,Muhammad,Banerjee,12,F,muhammad.banerjee@rediffmail.com,+91-6261477051,2014-01-04,False,True
P1811,Muhammad,Bbanerjee,12,F,muhammad.bbanerjee@rediffmail.com,+91-9494175052,2014-06-14,False,True
P1811,Muhammad,Banerjee,12,F,muhammad.banerjee@gmail.com,+91-9448571549,2014-02-05,False,True
P1858,Myra,Gupta,17,F,myra.gupta3@hotmail.com,+91-6590650359,2009-04-23,False,True
P1858,myra,Gupta,17,F,myra.gupta1@gmail.com,+91-9606120516,2009-03-23,False,True
P1875,Ishaan,Agarwal,42,F,ishaan.agarwal1@rediffmail.com,+91-7175594355,1984-04-17,False,True
P1875,Ishaan,Agarwal,42,F,ishaan.agarwal@gmail.com,+91-6885720569,1984-11-17,False,True
P1889,Aadhya,Patel,70,M,aadhya.patel@hotmail.com,+91-6473235986,1956-12-25,False,True
P1889,AadhyapPatel,,70,M,aadhyappatel.user@yahoo.com,+91-9331073681,1956-06-28,True,True
P1905,Vivaan,Pillai,84,M,vivaan.pillai@outlook.com,+91-7894668747,1942-02-18,False,True
P1905,Vivaan,Pillai,84,M,vivaan.pillai2@rediffmail.com,+91-7236488723,1942-04-14,False,True
P1912,Diya,kulkarni,57,F,diya.kulkarni@gmail.com,+91-9964845867,1969-07-14,False,True
P1912,Diya,Kulkarni,57,F,diya.kulkarni@rediffmail.com,+91-9576626352,1969-10-07,False,True
P1931,Arjun,Verma,14,M,arjun.verma@hotmail.com,+91-8880770209,2012-10-06,False,True
P1931,Arjun,Verma,14,M,arjun.verma@gmail.com,+91-8539946808,2012-03-26,False,True
P1944,Riya,Gupta,10,M,riya.gupta1@gmail.com,+91-8447907555,2016-09-06,False,True
P1944,RiyaGupta,,10,M,riyagupta.user@yahoo.com,+91-6910309537,2016-07-21,True,True
P1982,Aadhya,Das,30,F,aadhya.das2@yahoo.com,+91-7961403389,1996-12-24,False,True
P1982,Aadhya,Das,30,F,aadhya.das@outlook.com,+91-7320905013,1996-06-05,False,True
P1985,Aadhya,Nair,37,M,aadhya.nair@outlook.com,+91-6144060578,1989-01-01,False,True
P1985,AadhyaNair,,37,M,aadhyanair.user@gmail.com,+91-8770401470,1989-04-05,True,True
P1991,Aarav,Sharma,4,F,aarav.sharma@rediffmail.com,+91-6837115354,2022-07-24,False,True
P1991,Aarav,Shhharma,4,F,aarav.shhharma@rediffmail.com,+91-9196057919,2022-11-17,False,True
P1994,Diya,Kulkarni,89,F,diya.kulkarni1@hotmail.com,+91-7409498553,1937-03-18,False,True
P1994,DiyaKulkarni,,89,F,diyakulkarni.user@gmail.com,+91-9694250229,1937-09-17,True,True
P1999,Ananya,Pillai,14,F,ananya.pillai2@yahoo.com,+91-9733969290,2012-12-15,False,True
P1999,AnanyaPillai,,14,F,ananyapillai.user@outlook.com,+91-7597463844,2012-11-28,True,True
